DateTime,Total Return Bond Index
01.01.1955 00:00,72.8904021
01.02.1955 00:00,
01.03.1955 00:00,
01.04.1955 00:00,
01.05.1955 00:00,
01.06.1955 00:00,
01.07.1955 00:00,
01.08.1955 00:00,
01.09.1955 00:00,
01.10.1955 00:00,
01.11.1955 00:00,
01.12.1955 00:00,
01.01.1956 00:00,74.2792014
01.02.1956 00:00,
01.03.1956 00:00,
01.04.1956 00:00,
01.05.1956 00:00,
01.06.1956 00:00,
01.07.1956 00:00,
01.08.1956 00:00,
01.09.1956 00:00,
01.10.1956 00:00,
01.11.1956 00:00,
01.12.1956 00:00,
01.01.1957 00:00,69.0778128
01.02.1957 00:00,
01.03.1957 00:00,
01.04.1957 00:00,
01.05.1957 00:00,
01.06.1957 00:00,
01.07.1957 00:00,
01.08.1957 00:00,
01.09.1957 00:00,
01.10.1957 00:00,
01.11.1957 00:00,
01.12.1957 00:00,
01.01.1958 00:00,72.7288532
01.02.1958 00:00,
01.03.1958 00:00,
01.04.1958 00:00,
01.05.1958 00:00,
01.06.1958 00:00,
01.07.1958 00:00,
01.08.1958 00:00,
01.09.1958 00:00,
01.10.1958 00:00,
01.11.1958 00:00,
01.12.1958 00:00,
01.01.1959 00:00,69.3915872
01.02.1959 00:00,
01.03.1959 00:00,
01.04.1959 00:00,
01.05.1959 00:00,
01.06.1959 00:00,
01.07.1959 00:00,
01.08.1959 00:00,
01.09.1959 00:00,
01.10.1959 00:00,
01.11.1959 00:00,
01.12.1959 00:00,
01.01.1960 00:00,67.9455064
01.02.1960 00:00,
01.03.1960 00:00,
01.04.1960 00:00,
01.05.1960 00:00,
01.06.1960 00:00,
01.07.1960 00:00,
01.08.1960 00:00,
01.09.1960 00:00,
01.10.1960 00:00,
01.11.1960 00:00,
01.12.1960 00:00,
01.01.1961 00:00,74.3044053
01.02.1961 00:00,
01.03.1961 00:00,
01.04.1961 00:00,
01.05.1961 00:00,
01.06.1961 00:00,
01.07.1961 00:00,
01.08.1961 00:00,
01.09.1961 00:00,
01.10.1961 00:00,
01.11.1961 00:00,
01.12.1961 00:00,
01.01.1962 00:00,76.2855249
01.02.1962 00:00,
01.03.1962 00:00,
01.04.1962 00:00,
01.05.1962 00:00,
01.06.1962 00:00,
01.07.1962 00:00,
01.08.1962 00:00,
01.09.1962 00:00,
01.10.1962 00:00,
01.11.1962 00:00,
01.12.1962 00:00,
01.01.1963 00:00,82.463714
01.02.1963 00:00,
01.03.1963 00:00,
01.04.1963 00:00,
01.05.1963 00:00,
01.06.1963 00:00,
01.07.1963 00:00,
01.08.1963 00:00,
01.09.1963 00:00,
01.10.1963 00:00,
01.11.1963 00:00,
01.12.1963 00:00,
01.01.1964 00:00,83.9719482
01.02.1964 00:00,
01.03.1964 00:00,
01.04.1964 00:00,
01.05.1964 00:00,
01.06.1964 00:00,
01.07.1964 00:00,
01.08.1964 00:00,
01.09.1964 00:00,
01.10.1964 00:00,
01.11.1964 00:00,
01.12.1964 00:00,
01.01.1965 00:00,86.9000902
01.02.1965 00:00,
01.03.1965 00:00,
01.04.1965 00:00,
01.05.1965 00:00,
01.06.1965 00:00,
